Datetime,Price,Market Cap,Volume
2025-02-20 14:01:07.175000,96913.83407061106,1921018415565.3267,28046697790.946465
2025-02-20 15:04:41.781000,97004.88168451515,1923442422610.2505,24931469587.043407
2025-02-20 16:01:01.985000,97188.8027667773,1927543967752.7686,24413495276.43508
2025-02-20 17:04:45.189000,97192.89155485418,1926894729854.7559,23367692797.65633
2025-02-20 18:05:54.364000,97406.95451404073,1930718414383.4734,26132133862.50507
2025-02-20 19:04:53.780000,97248.13930504581,1927161254662.1667,26925922984.531998
2025-02-20 20:04:21.306000,97439.5651782597,1931914088799.3633,27110893528.127083
2025-02-20 21:05:43.049000,97597.5898426476,1934257234743.5444,27255999333.531757
2025-02-20 22:09:30.030000,97202.8689987542,1926922621929.254,27282671732.611103
2025-02-20 23:04:41.884000,96876.26093402511,1921720319736.4573,27901088936.550987
2025-02-21 00:06:49.908000,97714.3371744566,1937442441767.5703,28613901292.424763
2025-02-21 01:03:34.411000,98018.59661832507,1942880495218.0186,29900165641.533195
2025-02-21 02:04:46.413000,98338.7018272712,1950030314761.3906,29843326786.58495
2025-02-21 03:07:50.481000,98481.54369856586,1951386050803.741,30502516670.253407
2025-02-21 04:04:48.201000,98519.0592307595,1952973941365.052,30786916724.13033
2025-02-21 05:04:20.397000,98022.05812096567,1944662152628.4802,29843859995.207157
2025-02-21 06:04:56.646000,98227.3320679309,1946512875120.1768,28199527779.23245
2025-02-21 07:04:28.449000,98336.68799774042,1949452084035.1829,28413454737.835297
2025-02-21 08:07:45.226000,98250.85003188688,1947630175225.2068,28855752905.12628
2025-02-21 09:04:57.538000,98368.18235937174,1950197096789.56,24920050199.02887
2025-02-21 10:04:46.043000,98126.16133511938,1945662602436.5557,28593196910.661728
2025-02-21 11:04:36.364000,98241.82244249899,1946580563571.827,29275601082.483658
2025-02-21 12:04:43.530000,98247.45441227335,1947968624952.759,29408443793.79684
2025-02-21 13:09:18.155000,98328.75213668121,1950235596568.0593,24684319951.491024
2025-02-21 14:00:30.275000,98421.66598679434,1950916300588.1677,29588907780.303143
2025-02-21 15:04:23.729000,98190.5219426655,1947415819221.0823,30042184966.693783
2025-02-21 16:04:49.539000,98306.70568096745,1947479833052.1401,30244271161.609722
2025-02-21 17:04:26.847000,98354.95929916999,1950272527590.0635,24227088887.685234
2025-02-21 18:00:52.127000,98635.9937326328,1955272300049.4636,30795672771.728134
2025-02-21 19:04:51.988000,98641.48664582448,1956137670902.715,26765665365.877144
2025-02-21 20:03:40.066000,98941.1725782136,1961151500361.1628,31792093311.84099
2025-02-21 21:07:40.214000,99244.09049710589,1967937581097.418,33827623887.584812
2025-02-21 22:04:38.351000,98689.12290385604,1959515871821.0437,33521153131.910942
2025-02-21 23:01:43.142000,98200.30835870569,1938450177702.1526,33487988278.48033
2025-02-22 00:04:16.439000,98208.05256779343,1946554285135.4336,33663916839.296513
2025-02-22 01:04:42.447000,97057.94737411733,1922348599686.325,41047664313.43925
2025-02-22 02:04:57.810000,96432.40639733619,1914909090399.566,42745822146.91186
2025-02-22 03:04:57.717000,95188.4232914197,1886971687085.949,45923965982.78666
2025-02-22 04:01:41.905000,94909.23471393716,1882506768778.1719,47538396800.35265
2025-02-22 05:04:46.216000,95374.40372435798,1891523966800.6685,50011074636.91984
2025-02-22 06:04:58.218000,95744.67131189487,1898921992324.5488,43728538160.090706
2025-02-22 07:04:32.453000,96135.15541305285,1906058197506.3809,42477472950.92155
2025-02-22 08:03:49.822000,96175.80021236626,1906777875461.2402,40213838928.73109
2025-02-22 09:04:57.978000,96214.64163369463,1907697619036.175,51240335192.06845
2025-02-22 10:03:51.217000,96324.83585906116,1909332283689.208,47038653529.24028
2025-02-22 11:05:58.222000,96379.27904139952,1909685021760.6614,51330874065.9991
2025-02-22 12:00:34.202000,96361.62676840216,1912051713683.331,51101262817.92746
2025-02-22 13:04:58.495000,96448.06002721623,1911903069945.3704,42307176938.55069
2025-02-22 14:04:54.123000,96389.686033179,1911297303169.5447,46349080398.46455
2025-02-22 15:03:34.715000,96304.5157111551,1909840156700.8193,50437099374.82441
2025-02-22 16:05:12.632000,96211.30637187278,1907268295549.7957,50235651141.3879
2025-02-22 17:04:05.336000,96479.11808533416,1913316362867.0835,47360903214.71842
2025-02-22 18:04:46.590000,96480.22631988948,1912809612348.9426,45102895890.47096
2025-02-22 19:04:29.298000,96594.85836473043,1914538828745.6216,47616774188.804886
2025-02-22 20:01:07.696000,96857.71626951931,1920069978878.5688,47287258860.83904
2025-02-22 21:09:22.015000,96640.432707833,1915272282753.1301,45548031181.34358
2025-02-22 22:05:21.603000,96533.46795238968,1914084848259.3599,40343224755.35737
2025-02-22 23:04:48.803000,96582.88770834969,1916614145604.421,33120507599.799072
2025-02-23 00:04:43.302000,96493.95352259732,1913097498378.1382,34945155357.54187
2025-02-23 01:04:59.220000,96668.33083690105,1916385137318.1821,32034310846.470707
2025-02-23 02:02:15.198000,96417.94490841779,1911714246860.0242,29331436433.798298
2025-02-23 03:04:50.643000,96631.34570897685,1915985361474.8591,26045423991.642757
2025-02-23 04:04:44.980000,96576.69186359123,1914901495975.7688,22320190049.46291
2025-02-23 05:01:33.157000,96676.44236752397,1916378697121.2043,17599883816.199932
2025-02-23 06:05:45.135000,96635.74766480611,1916750815560.4211,18863333654.078506
2025-02-23 07:04:47.721000,96526.3245193673,1914340927566.5305,18573069489.322983
2025-02-23 08:04:50.090000,96652.72840228872,1916273784575.8806,18079936669.303177
2025-02-23 09:04:51.387000,96486.16095700496,1912968967005.0461,15665744905.74161
2025-02-23 10:04:36.316000,96413.29570390456,1912230415885.3691,17250349724.60702
2025-02-23 11:04:41.720000,96433.35114701596,1912482530748.4426,17146490189.538015
2025-02-23 12:04:46.475000,96423.40572186683,1912437801353.127,17067949837.98017
2025-02-23 13:04:37.616000,96216.37468385046,1908283572575.259,16997699842.659517
2025-02-23 14:02:03.265000,96345.70036309761,1910186586178.0916,12879961431.80666
2025-02-23 15:04:31.344000,96532.36465453282,1914063419326.5752,16746841508.455725
2025-02-23 16:04:53.321000,96345.45264741067,1909967277479.8289,16363305263.566639
2025-02-23 17:00:21.052000,96327.06984242801,1910282554188.766,13967394873.317518
2025-02-23 18:04:48.539000,96170.77690652086,1906385939343.4485,15717574505.962608
2025-02-23 19:00:50.617000,96113.94673119442,1905728025423.12,14812624308.338205
2025-02-23 20:04:51.833000,95729.51884312728,1898099315057.4385,14881914518.0658
2025-02-23 21:04:49.250000,95910.3437706451,1902146857683.7625,13006459568.270264
2025-02-23 22:04:45.840000,95578.6571267704,1895659213950.1938,16279844961.718296
2025-02-23 23:04:37.446000,95432.65221910209,1893914141590.8926,14380630041.035685
2025-02-24 00:04:48.221000,95425.30528594145,1894194513775.5715,16153182426.724945
2025-02-24 01:05:32.331000,95664.86676122127,1897884415311.3362,15941004697.939243
2025-02-24 02:09:24.749000,95807.78271920708,1898522788793.9797,16793034143.143463
2025-02-24 03:04:57.514000,95748.56191472913,1898663155970.1587,16213134932.692854
2025-02-24 04:04:48.030000,95784.84215984003,1899343656213.4377,11968612532.591763
2025-02-24 05:04:56.654000,95764.18321415772,1898659927518.2686,15653378879.882114
2025-02-24 06:09:21.219000,96100.14512743866,1904561170797.394,16666706255.082392
2025-02-24 07:03:58.045000,96265.42843123179,1909267175265.4783,15357703644.91575
2025-02-24 08:04:32.015000,96235.4969392334,1909042967554.4155,18418267627.855816
2025-02-24 09:04:40.171000,95980.26132457636,1903826238604.2917,18605618557.62663
2025-02-24 10:04:27.810000,95792.0954841429,1899020003799.6506,19165956216.87887
2025-02-24 11:04:56.717000,95444.921653889,1893639840650.125,19573206271.599316
2025-02-24 12:01:04.500000,95286.7956865605,1889360899099.7197,19393567136.189953
2025-02-24 13:04:32.274000,95738.04972301621,1898613360295.6648,21907979890.707195
2025-02-24 14:04:24.571000,95913.34522050363,1900013987215.283,22326834325.576653
2025-02-24 15:04:48.274000,95901.8386976779,1901828054846.79,21614386194.539314
2025-02-24 16:04:55.513000,95542.30879671387,1895161399620.514,21192459268.14618
2025-02-24 17:04:38.788000,95806.49386697571,1900268520963.95,21909831863.90759
2025-02-24 18:04:29.936000,95640.85834666436,1896318596827.1353,20334508492.040634
2025-02-24 19:04:45.829000,95832.80810182482,1901058383642.8376,21969121393.213276
2025-02-24 20:04:42.429000,95796.86204044832,1899312938324.9553,21195102880.023293
2025-02-24 21:04:10.530000,95536.92475658203,1895548322417.6648,25747894652.387363
2025-02-24 22:05:00.194000,94752.9231933443,1882000793643.7454,25086188611.723347
